Sp;MV;(B - V)0;(U - B)0;Тeff;BC;Mbol
B0;-6,4;-0,25;-1,2;30000,00;-3;-9
А0;-6,2;  0,00;-0,3;12000,00;-0,5;-7
F0;-6;0,25;0,25;  7 000;-0,1;-6,0
G0;-6;0,70;0,60;  5 700;-0,1;-5,2
G5;-6;1,06;0,87;  4 850;-0,3;-5,2
K0;-5;1,39;1,34;  4 100;-0,7;-5,4
K5;-5;1,70;1,70;  3 500;-1,2;-6
M0;-5;1,94;1,70;;-1,9;-7
